Supplier_ID,Supplier_Name,Contact_Person,Phone,Email,Address,Province,Wood_Types,Certification,Rating,Payment_Terms,Is_Active,Notes,Created_Date
SUP001,บริษัท ไม้ดี จำกัด,สมชาย ไม้งาม,081-234-5678,contact@wooddee.co.th,123 ถ.เพชรเกษม,สุราษฎร์ธานี,ยางพารา ยูคาลิปตัส,FSC,4.5,เครดิต 30 วัน,ใช้งาน,ซัพพลายเออร์หลัก,2023-01-15
SUP002,หจก.ไม้สวน,วิภา สวนสวย,089-876-5432,woodgarden@gmail.com,456 ม.5 ต.ท่าศาลา,นครศรีธรรมราช,ยูคาลิปตัส กระถิน,PEFC,4.2,เครดิต 15 วัน,ใช้งาน,ไม้คุณภาพดี ราคาเหมาะสม,2023-03-20
SUP003,สหกรณ์ไม้สักแพร่,ประสิทธิ์ สักทอง,054-511-234,teakphrae@coop.th,789 ถ.ยันตรกิจโกศล,แพร่,สัก,FSC,4.8,เครดิต 45 วัน,ใช้งาน,ไม้สักคุณภาพสูง มีใบรับรอง,2022-06-01
SUP004,ร้านไม้เชียงใหม่,มนัส ไม้เมือง,053-222-333,cmwood@hotmail.com,321 ถ.มหิดล,เชียงใหม่,มะฮอกกานี สัก ตะแบก,FSC,4.3,เงินสด,ใช้งาน,ไม้แปรรูปคุณภาพ,2023-02-10
SUP005,ไร่กระถินชลบุรี,สุนทร ไร่เขียว,038-123-456,krathin@farm.co.th,111 ม.3 ต.บ่อวิน,ชลบุรี,กระถินณรงค์,ไม่มี,3.8,เงินสด,ใช้งาน,ราคาถูก ปริมาณมาก,2023-08-15
SUP006,สวนยางตรัง,วีระ สวนยาง,075-211-222,rubbertrang@gmail.com,555 ม.7 ต.เขาวิเศษ,ตรัง,ยางพารา,FSC,4.4,เครดิต 30 วัน,ใช้งาน,ยางพาราคุณภาพดี,2022-11-01
SUP007,ร้านไม้อุดร,พิชัย ไม้อีสาน,042-333-444,udonwood@yahoo.com,777 ถ.นิตโย,อุดรธานี,ประดู่ แดง,ไม่มี,4.0,เครดิต 30 วัน,ใช้งาน,ไม้หายาก มีใบอนุญาต,2023-05-01
SUP008,ไม้สนเลย,อำนาจ สนภูเขา,042-811-000,loei.pine@gmail.com,888 ม.2 ต.เชียงคาน,เลย,สน,PEFC,4.1,เงินสด,ใช้งาน,ไม้สนภูเขาคุณภาพดี,2023-07-20
SUP009,ป่าชุมชนสระแก้ว,สมบูรณ์ ป่าชุมชน,037-241-555,sakaeo.forest@community.th,999 ม.4 ต.วังน้ำเย็น,สระแก้ว,แดง ประดู่,FSC,4.6,เครดิต 60 วัน,ใช้งาน,ไม้ได้รับอนุญาตถูกต้อง,2022-09-15
SUP010,ไผ่กาญจน์,กาญจนา ไผ่งาม,034-515-666,bamboo.kan@gmail.com,246 ม.1 ต.ท่าม่วง,กาญจนบุรี,ไม้ไผ่,FSC,4.7,เงินสด,ใช้งาน,ไผ่คุณภาพดี หลากหลายขนาด,2023-04-01
