Type_ID,Type_Name_TH,Type_Name_EN,Category,Hardness_Level,Avg_Density_KgM3,Avg_Price_THB_M3,Durability_Years,Common_Uses,Sustainability_Rating,Origin_Regions,Growing_Time_Years,Is_Active,Notes
WT001,ยางพารา,Rubber Wood,ไม้เนื้อแข็งปานกลาง,ปานกลาง,580,2500,15,เฟอร์นิเจอร์ ของตกแต่ง,สูง,ภาคใต้ ภาคตะวันออก,6,ใช้งาน,ไม้ยอดนิยมสำหรับเฟอร์นิเจอร์
WT002,ยูคาลิปตัส,Eucalyptus,ไม้เนื้อแข็งปานกลาง,ปานกลาง,520,2200,12,ก่อสร้าง พาเลท กระดาษ,สูง,ทั่วประเทศ,5,ใช้งาน,เติบโตเร็ว ใช้งานหลากหลาย
WT003,สัก,Teak,ไม้เนื้อแข็ง,สูง,750,8500,50,เฟอร์นิเจอร์พรีเมี่ยม ต่อเรือ,ปานกลาง,ภาคเหนือ,25,ใช้งาน,ไม้มีค่า ทนทาน กันน้ำ
WT004,มะฮอกกานี,Mahogany,ไม้เนื้อแข็ง,สูง,680,6800,40,เฟอร์นิเจอร์หรู เครื่องดนตรี,ปานกลาง,ภาคเหนือ,20,ใช้งาน,ไม้สีแดงสวยงาม
WT005,กระถินณรงค์,Acacia Mangium,ไม้เนื้อแข็งปานกลาง,ปานกลาง,450,1800,10,พาเลท บรรจุภัณฑ์ ชีวมวล,สูง,ทั่วประเทศ,3,ใช้งาน,เติบโตเร็วมาก ปลูกง่าย
WT006,ประดู่,Rosewood,ไม้เนื้อแข็งมาก,สูงมาก,820,12000,100,เฟอร์นิเจอร์โบราณ เครื่องดนตรี,ต่ำ,ภาคอีสาน,50,ใช้งาน,ไม้หายาก ราคาสูง
WT007,สน,Pine,ไม้เนื้อนุ่ม,ต่ำ,420,1500,8,งานตกแต่ง โครงสร้างเบา,สูง,ภาคเหนือ ภาคอีสาน,8,ใช้งาน,ไม้นุ่ม แปรรูปง่าย
WT008,ไม้ไผ่,Bamboo,ไม้เส้นใย,ปานกลาง,700,800,5,บรรจุภัณฑ์ ของตกแต่ง ก่อสร้าง,สูงมาก,ทั่วประเทศ,3,ใช้งาน,เติบโตเร็วที่สุด ยั่งยืน
WT009,แดง,Xylia,ไม้เนื้อแข็งมาก,สูงมาก,900,15000,80,ก่อสร้างหนัก เสาเข็ม,ต่ำ,ภาคตะวันออก,40,ใช้งาน,ไม้แข็งแรงมาก ทนปลวก
WT010,ตะแบก,Lagerstroemia,ไม้เนื้อแข็ง,สูง,720,5500,30,เฟอร์นิเจอร์ ก่อสร้าง,ปานกลาง,ภาคกลาง,15,ใช้งาน,ไม้สีสวย ลายไม้ชัด
