Batch_ID,Wood_ID,Assessment_ID,Production_Order,Product_Type,Product_Name,Target_Quantity,Completed_Quantity,Unit,Start_Date,Target_End_Date,Actual_End_Date,Machine_ID,Operator_Name,Status,Quality_Pass_Pct,Waste_Pct,Energy_Cost_THB,Labor_Cost_THB,Total_Cost_THB,Selling_Price_THB,Profit_THB,Remarks,Created_Date,Last_Updated
BATCH001,W003,ASM003,PO-2024-001,เฟอร์นิเจอร์,โต๊ะไม้สักทอง,20,18,ตัว,2024-12-25,2024-12-30,2024-12-29,M001,อนุชา ช่างไม้,เสร็จสิ้น,95,8,4500,12000,145000,320000,175000,ผลิตเสร็จก่อนกำหนด,2024-12-25,2024-12-29
BATCH002,W001,ASM001,PO-2024-002,เฟอร์นิเจอร์,เก้าอี้ยางพารา,50,45,ตัว,2024-12-22,2024-12-28,2024-12-28,M002,สมศักดิ์ ช่างเก่า,เสร็จสิ้น,90,12,3200,8500,85000,180000,95000,มีของเสีย 5 ตัว,2024-12-22,2024-12-28
BATCH003,W004,ASM004,PO-2024-003,เฟอร์นิเจอร์,ตู้เก็บของมะฮอกกานี,15,12,ตัว,2024-12-24,2024-12-31,,M001,อนุชา ช่างไม้,กำลังผลิต,88,10,3800,9000,,,,กำลังผลิตอยู่,2024-12-24,2024-12-26
BATCH004,W002,ASM002,PO-2024-004,ก่อสร้าง,คาน 2x4 ยูคาลิปตัส,200,200,ท่อน,2024-12-23,2024-12-26,2024-12-25,M003,วินัย ช่างเลื่อย,เสร็จสิ้น,98,5,2100,5500,55000,95000,40000,ผลิตครบตามจำนวน,2024-12-23,2024-12-25
BATCH005,W006,ASM006,PO-2024-005,เฟอร์นิเจอร์,ชั้นวางของยางพารา,30,0,ตัว,2024-12-27,2025-01-03,,M002,สมศักดิ์ ช่างเก่า,รอวัตถุดิบ,0,0,,,,,รอประเมินไม้เสร็จ,2024-12-26,2024-12-26
BATCH006,W008,ASM008,PO-2024-006,ตกแต่ง,ฝาผนังไม้สน,100,75,แผ่น,2024-12-26,2024-12-30,,M004,มานะ ช่างตกแต่ง,กำลังผลิต,92,7,1800,4200,,,,ผลิตได้ 75% แล้ว,2024-12-26,2024-12-26
BATCH007,W010,,PO-2024-007,บรรจุภัณฑ์,กล่องไม้ไผ่,500,500,ใบ,2024-12-25,2024-12-27,2024-12-26,M005,ศรีนวล ช่างประกอบ,เสร็จสิ้น,96,3,800,2500,12000,35000,23000,ผลิตเร็วกว่าแผน,2024-12-25,2024-12-26
BATCH008,W005,ASM005,PO-2024-008,พาเลท,พาเลทไม้กระถิน,80,0,ตัว,2024-12-28,2025-01-05,,M003,วินัย ช่างเลื่อย,รอประเมิน,0,0,,,,,รอผลประเมินไม้,2024-12-26,2024-12-26
BATCH009,W007,ASM007,PO-2024-009,เฟอร์นิเจอร์พรีเมี่ยม,โต๊ะทำงานไม้ประดู่,10,0,ตัว,2024-12-30,2025-01-10,,M001,อนุชา ช่างไม้,วางแผน,0,0,,,,,สินค้าพรีเมี่ยม รอคิว,2024-12-26,2024-12-26
BATCH010,W003,ASM003,PO-2024-010,เฟอร์นิเจอร์,เตียงไม้สัก King Size,5,3,ตัว,2024-12-26,2025-01-05,,M001,อนุชา ช่างไม้,กำลังผลิต,100,6,5500,15000,,,,สินค้าคุณภาพสูง,2024-12-26,2024-12-26
